BREWERS_PITCHER,PITCHER_ID,STADIUM,DATE_TIME,BATTER_SIDE,PITCH_TYPE,COUNT,REL_HEIGHT,REL_SIDE,EXTENSION,VELOCITY,INDUCED_VERT_BREAK,HORZ_BREAK,SPIN_RATE,TEMPERATURE,OUTS,PITCH_CALL,PLAY_RESULT
"Sanchez, Dikember",699129,VeteransMemorial,2025-04-25 20:39:53.420,R,FA,20,5.907194076,1.632449956,5.752792483,91.88924,12.236854309,4.314422449,2384.260283,53,0,Ball,
"Sanchez, Dikember",699129,VeteransMemorial,2025-04-25 20:25:26.540,R,FA,10,5.97203558,2.151861998,5.736992483,90.14769,11.271710739,4.080876686,2401.68076,53,1,Foul,
"Sanchez, Dikember",699129,VeteransMemorial,2025-04-25 20:24:19.660,R,FA,00,5.976617767,2.0127287,5.783702483,90.91163,10.728659182,6.458715632,2147.491361,53,0,Foul,
"Root, Bayden",694843,VeteransMemorial,2025-04-25 20:05:24.620,R,SW,02,4.808398228,0.8998107779,6.649893674,83.91725,-0.8899688189,-14.825288711,2921.461474,53,1,Foul,
"Letson, Bishop",811309,VeteransMemorial,2025-04-25 18:42:13.630,R,SI,00,5.182187153,1.345258307,7.80609727,92.8962,11.026633647,13.374231099,2341.069759,53,1,Ball,
"Letson, Bishop",811309,VeteransMemorial,2025-04-25 19:09:00.380,R,FA,00,5.397533731,1.017274456,7.867532483,92.52251,14.52854004,11.840083445,2579.031249,53,0,In Play,Single
"Letson, Bishop",811309,VeteransMemorial,2025-04-25 19:48:23.340,R,FA,00,5.521925274,1.019473322,7.963832483,91.77436,15.636226203,9.288633726,2381.127003,53,2,Called Strike,
"Letson, Bishop",811309,VeteransMemorial,2025-04-25 18:59:27.900,R,SW,31,4.953593113,1.751673149,7.429193674,78.6371,-2.724663797,-17.955710704,2306.483351,53,1,Called Strike,
"Letson, Bishop",811309,VeteransMemorial,2025-04-25 18:57:53.500,R,SW,01,5.052047816,1.600028898,7.397743674,79.45352,-3.43538923,-10.717833654,2379.702803,53,0,In Play,Out
"Sanchez, Dikember",699129,VeteransMemorial,2025-04-25 20:25:48.220,R,SL,11,5.541283203,2.453234346,5.759917344,85.64103,-1.914813348,-6.205618006,2703.435827,53,1,In Play,Out
"Aquino, Patricio",699223,VeteransMemorial,2025-04-26 15:09:01.580,R,SL,00,5.285279107,2.706330305,5.884467554,79.64143,0.6572725969,-0.7938410096,2218.740938,58,2,Called Strike,
"Rodriguez, Yerlin",693750,VeteransMemorial,2025-04-26 15:40:20.830,R,SL,00,5.49631558,1.164138663,5.776547554,90.91508,-2.020438537,-8.352204395,2851.540286,58,2,Ball,
"Maldonado, Aidan",682251,VeteransMemorial,2025-04-26 14:30:19.160,R,FA,01,5.732926745,1.435702395,6.850122693,93.34738,15.298813277,7.065985594,1961.51067,58,0,Foul,
"Maldonado, Aidan",682251,VeteransMemorial,2025-04-26 14:51:31.640,R,SW,01,5.669550522,1.408454418,6.688453883,84.37955,-8.243090494,-17.117452098,2156.090429,58,2,Ball,
"Rodriguez, Yerlin",693750,VeteransMemorial,2025-04-26 15:38:48.040,R,SL,02,5.556857184,1.001144512,5.834017554,90.35716,0.07513834497,-5.991096395,2799.466741,58,0,Swinging Strike,
"Aquino, Patricio",699223,VeteransMemorial,2025-04-26 15:05:30.090,R,SI,00,5.348959674,2.641029291,5.94194748,90.84012,12.234674724,13.435798523,2058.383519,58,1,Hit By Pitch,
"Flores, Anthony",800260,,2025-04-26 12:05:20.010,,SI,,5.379374516,-1.732042809,5.741603722,85.22674,8.959550751,-5.369004448,2445.389226,,,,
"Birchard, Ryan",804670,,2025-04-26 11:49:22.160,,FA,,6.836182431,-0.5274443106,7.018969853,88.21258,22.743191548,2.743859151,2200.845295,,,,
"Birchard, Ryan",804670,,2025-04-26 11:47:20.540,,FC,,6.79819802,-0.09485861989,6.651140524,83.91768,9.041059484,-3.067501566,2438.812021,,,,
"DeBerry, Jaron",809229,Papago Sports Complex,2025-04-26 06:00:00.000,L,FA,00,5.314524,2.026052,6.781769,89.532713,16.13163,12.509727,2489.221396,,1,Ball,
"DeBerry, Jaron",809229,Papago Sports Complex,2025-04-26 06:00:00.000,L,SW,12,5.248397,1.931386,6.816907,80.643328,-0.648254,-17.99123,2740.238369,,1,Foul,
"Seppings, Jack",808952,Segra Park,2025-04-27 00:00:45.177,R,FC,00,6.007601313,2.636995687,6.513368193,88.309652802,4.908790541,0.4647654572,2623.539854147,83,1,Ball,
"DeBerry, Jaron",809229,Papago Sports Complex,2025-04-26 06:00:00.000,R,SI,00,5.325276,1.793983,6.856571,89.535201,13.782908,13.421002,2165.884036,,0,Foul,
"Seppings, Jack",808952,Segra Park,2025-04-27 00:07:12.303,R,FC,21,6.070420322,2.66031106,6.254883471,85.351103495,3.057914162,-0.3362287309,2726.804599401,83,2,Foul,
"DeBerry, Jaron",809229,Papago Sports Complex,2025-04-26 06:00:00.000,L,SI,11,5.21485,1.786174,6.896195,91.427724,11.541692,13.064288,2336.083617,,0,Swinging Strike,
"Seppings, Jack",808952,Segra Park,2025-04-27 00:02:19.780,L,FC,11,5.873493574,2.764311384,6.412880031,88.662519211,8.373878486,-2.924634856,2711.149828789,83,1,Ball,
"DeBerry, Jaron",809229,Papago Sports Complex,2025-04-26 06:00:00.000,L,SI,21,5.267575,1.671248,6.859447,90.519711,13.722435,8.934573,2368.397947,,1,In Play,Out
"DeBerry, Jaron",809229,Papago Sports Complex,2025-04-26 06:00:00.000,R,SW,00,5.327786,1.98883,6.828032,79.971005,6.873482,-14.446545,2971.947618,,2,Called Strike,
"Seppings, Jack",808952,Segra Park,2025-04-27 00:05:03.521,R,FA,22,6.194974742,2.522832772,6.299674611,93.152548093,17.475739324,11.274198567,2240.82995228,83,2,Ball,
"Welch, Chandler",803068,,2025-04-27 11:51:34.720,,CU,,5.925256997,1.775645759,6.684570533,71.64325,-13.465721788,-19.433140812,2625.537839,,,,
"Welch, Chandler",803068,,2025-04-27 11:46:53.370,,CU,,6.011429344,1.666205713,6.711040533,70.83406,-10.717948433,-17.024958732,2648.167148,,,,
"Welch, Chandler",803068,,2025-04-27 11:53:31.030,,SI,,5.634929142,1.883851338,7.374223722,87.16682,10.770661336,16.910321022,2111.83051,,,,
"Cruz, Stiven",691602,Keesler Federal Park,2025-04-27 19:21:42.184,R,CU,00,6.295674133,0.5014938253,5.626796296,72.795044115,-15.254545459,-6.530519315,2405.377423817,82,2,Called Strike,
"Cruz, Stiven",691602,Keesler Federal Park,2025-04-27 19:33:05.278,L,CU,11,6.22506033,0.5042497875,5.530831952,70.136211819,-12.00004246,-7.669197464,2342.526420921,82,1,Foul,
"Broca, Jesus",695871,VeteransMemorial,2025-04-27 15:20:13.270,R,CH,10,5.55982746,-1.230173523,6.095957314,83.38919,7.405761489,-11.797343576,1977.074007,58,1,Called Strike,
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-27 13:30:33.040,R,FC,00,5.743026902,2.203569221,6.011312902,81.18233,12.567408681,-9.064787864,2575.239865,58,1,Swinging Strike,
"Broca, Jesus",695871,VeteransMemorial,2025-04-27 15:15:00.900,R,FA,22,5.656122858,-1.216992932,5.797956125,93.53907,16.780913439,-3.552010986,2166.108119,58,0,Foul,
"Root, Bayden",694843,VeteransMemorial,2025-04-27 14:38:10.160,R,SL,22,4.869666567,1.112677289,6.779380987,86.94032,1.177777346,-5.358904154,2780.962659,58,1,Ball,
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-27 13:40:48.820,R,FA,01,5.718213813,1.905516496,6.091536125,88.80651,18.951863468,0.001486455976,2767.861782,58,1,Ball,
"Sanchez, Dikember",699129,VeteransMemorial,2025-04-27 14:21:43.920,R,FA,20,5.901609607,1.766943494,5.886656125,90.02659,8.342358352,2.223809181,2347.096382,58,2,Called Strike,
"Sanchez, Dikember",699129,VeteransMemorial,2025-04-27 14:13:51.520,R,SL,20,5.477673193,1.945689956,6.044060987,84.49654,1.98386128,-4.610259714,2499.82876,58,0,Ball,
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-27 13:24:57.260,R,SI,11,5.601425812,1.949204026,6.652260913,86.01871,11.798441296,14.434181032,2397.764679,58,0,Ball,
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-27 13:13:52.880,R,SI,00,5.74027075,2.130865879,6.087130913,88.89478,14.166022252,12.167401829,2535.703358,58,1,Ball,
"Sanchez, Dikember",699129,VeteransMemorial,2025-04-27 14:21:57.360,R,FA,21,5.799625721,1.502087819,6.146646125,88.52759,9.466759241,0.3794806589,2259.354689,58,2,Ball,
"Broca, Jesus",695871,VeteransMemorial,2025-04-27 15:25:26.470,L,SL,00,5.57635378,-1.225329999,5.645640987,78.67448,1.377489635,9.921001037,2465.707158,58,1,Ball,
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-27 13:26:18.200,R,FC,11,5.70875978,2.004558216,6.093232902,81.26245,13.051371995,-8.292559867,2638.449925,58,1,Swinging Strike,
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-27 13:26:02.290,R,FA,01,5.758988645,1.919012483,6.022096125,88.40211,16.088679702,-1.190198273,2788.491658,58,1,Ball,
"Sanchez, Dikember",699129,VeteransMemorial,2025-04-27 14:16:38.440,R,SL,00,5.512071107,2.037235871,5.817210987,85.02577,0.6672331977,-4.844894601,1556.113941,58,2,Swinging Strike,
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-27 13:15:34.690,R,FC,11,5.696075428,2.008680969,6.036452902,80.45345,11.804517544,-8.96907246,2624.677083,58,2,Called Strike,
"Sanchez, Dikember",699129,VeteransMemorial,2025-04-27 14:17:46.150,L,SL,10,5.584881227,2.074732491,6.094780987,85.13943,3.498074341,-1.354777689,2690.438204,58,2,Ball,
"Rund, Aaron",810921,VeteransMemorial,2025-04-27 15:32:14.780,R,SL,10,5.012544635,1.277522284,6.898910987,87.82673,4.374380478,3.986745208,2336.005187,58,2,Ball,
"Rund, Aaron",810921,VeteransMemorial,2025-04-27 15:31:56.430,R,SI,00,4.647301147,1.387843568,6.735010913,94.11732,2.642468065,16.79443003,2163.524275,58,2,Ball,
"Root, Bayden",694843,VeteransMemorial,2025-04-27 14:27:03.890,R,SW,12,4.923996209,1.165672699,6.759967316,83.25509,-1.603757512,-8.466182451,2835.311956,58,2,Foul,
