BREWERS_PITCHER,PITCHER_ID,STADIUM,DATE_TIME,BATTER_SIDE,PITCH_TYPE,COUNT,REL_HEIGHT,REL_SIDE,EXTENSION,VELOCITY,INDUCED_VERT_BREAK,HORZ_BREAK,SPIN_RATE,TEMPERATURE,OUTS,PITCH_CALL,PLAY_RESULT
"Rodriguez, Yerlin",693750,Modern Woodmen Park,2025-04-11 01:31:39.211,R,SL,10,5.899082168,1.646086327,6.060269766,88.897121543,0.6058954001,-7.151121635,2708.220089089,61,0,Called Strike,
"Cruz, Stiven",691602,Keesler Federal Park,2025-04-11 01:36:55.700,R,SW,12,5.765307803,1.400703634,5.955096215,80.551518632,10.670375295,-6.563412996,2296.376110757,73,1,Foul,
"Maldonado, Aidan",682251,Modern Woodmen Park,2025-04-11 02:14:51.859,R,SW,01,5.631290674,1.866125589,6.35139903,84.024874701,4.18936838,-5.590921434,2028.415489508,61,2,Foul,
"Maldonado, Aidan",682251,Modern Woodmen Park,2025-04-11 02:10:26.494,L,FA,31,5.719821219,1.500469112,6.696639905,91.363323335,18.303868598,9.262606022,2010.355588863,61,0,Swinging Strike,
"Maldonado, Aidan",682251,Modern Woodmen Park,2025-04-11 02:10:06.641,L,FA,21,5.68184871,1.578464535,6.83430927,91.659070142,14.06825434,12.318596104,1910.66913561,61,0,Ball,
"Maldonado, Aidan",682251,Modern Woodmen Park,2025-04-11 02:16:36.911,R,CH,22,5.643554232,1.691707119,6.476292651,84.277093139,5.726946036,13.307037017,1934.155875739,61,2,Ball,
"Sanchez, Dikember",699129,,2025-04-11 14:56:47.730,,FA,,5.967934131,2.685922248,5.527730095,78.31942,8.98143153,-0.4057420128,1969.637938,,,,
"Seppings, Jack",808952,,2025-04-11 17:33:26.170,,SL,,5.61089456,2.973414758,6.595717426,81.69116,3.261450445,-2.497451199,2405.455179,,,,
"Langhorne, Miles",695680,,2025-04-11 17:30:19.740,,CH,,5.123528215,1.888162829,6.774787736,82.49794,-6.139876373,11.326785467,1653.271958,,,,
"Letson, Bishop",811309,Modern Woodmen Park,2025-04-11 23:46:40.433,R,FA,12,5.691566702,0.976681888,7.681194183,93.302399464,14.153814675,11.805403869,2500.490596726,60,2,"In Play, No Out",Single
"Letson, Bishop",811309,Modern Woodmen Park,2025-04-12 00:00:25.855,R,FA,00,5.388076386,1.416635218,8.292456198,93.006109338,15.170058362,10.631727328,2582.247132949,60,2,Ball,
"Letson, Bishop",811309,Modern Woodmen Park,2025-04-12 00:01:51.752,R,SI,01,5.323833972,1.356399432,7.772517406,91.992974441,9.077852467,17.364664064,2530.818150292,60,2,Ball,
"Letson, Bishop",811309,Modern Woodmen Park,2025-04-12 00:13:13.459,L,SW,00,5.248466794,1.61399719,7.542423961,80.986830344,-0.7189660538,-16.272517992,2372.510585907,60,2,Ball,
"Letson, Bishop",811309,Modern Woodmen Park,2025-04-11 23:58:23.615,R,FA,02,5.44578752,1.357858513,7.657919337,94.41951458,14.566841278,14.835691828,2586.130190277,60,0,Called Strike,
"Letson, Bishop",811309,Modern Woodmen Park,2025-04-12 00:29:11.219,R,FA,12,5.619313194,1.276168138,7.15249702,93.429472697,15.420690607,9.742060107,2580.311911251,60,0,Ball,
"Letson, Bishop",811309,Modern Woodmen Park,2025-04-12 00:32:18.081,R,SW,00,5.029358669,2.009034651,7.544561056,81.704123534,-3.232537152,-15.862797572,2455.674969752,60,2,Called Strike,
"Letson, Bishop",811309,Modern Woodmen Park,2025-04-12 00:41:34.891,R,SI,01,5.192123828,1.589051457,7.517605917,90.452102743,10.266863964,14.528695865,2360.513658481,60,0,Called Strike,
"Flores, Anthony",800260,Modern Woodmen Park,2025-04-12 01:02:33.185,R,FA,11,5.210804584,-1.47807337,5.946108118,89.520512728,13.287038286,-11.987519687,2569.39576443,60,1,Ball,
"Gillis, Tanner",828705,Pelicans Ballpark,2025-04-12 01:20:43.704,R,SL,21,5.83360231,1.818012448,6.777859891,82.88031095,-2.221392393,-1.360209217,2586.802292701,65,0,Foul,
"Gillis, Tanner",828705,Pelicans Ballpark,2025-04-12 01:21:22.840,R,FA,22,5.821234972,1.627880225,6.940823451,92.359736766,15.069751144,4.596699811,2296.112711277,65,0,Foul,
"Flores, Anthony",800260,Modern Woodmen Park,2025-04-12 01:37:00.828,R,FA,21,5.211305818,-1.618736229,5.702122913,86.997767187,8.521388422,-2.161187516,2749.644766718,60,2,Ball,
"Flores, Anthony",800260,Modern Woodmen Park,2025-04-12 01:36:11.108,R,FA,10,5.254873372,-1.454332032,5.775969459,87.554269734,10.502829077,1.741836192,2571.170962304,60,2,Swinging Strike,
"Gillis, Tanner",828705,Pelicans Ballpark,2025-04-12 01:49:12.558,L,FC,22,5.70727069,1.639826657,6.837679888,88.346324656,5.451350441,-0.8776288462,2330.443231547,65,0,Called Strike,
"Rodriguez, Yerlin",693750,,2025-04-05 12:05:46.010,,FA,,5.62521109,1.959828371,6.429334517,93.46521,13.435361116,4.782604858,2133.616375,,,,
"Sanchez, Dikember",699129,,2025-04-05 12:01:41.810,,CU,,6.37369,1.8327,,74.89738,,,2497.681213,,,,
"Figueroa, Jeferson",689951,,2025-04-05 12:04:10.580,,CH,,5.986511189,1.520058485,5.721255979,80.41747,9.009148097,16.950927083,1956.193729,,,,
"Aquino, Patricio",699223,,2025-04-05 12:07:13.530,,CH,,5.892972717,2.336441467,5.866835979,83.3068,3.434056632,20.219801156,1900.205818,,,,
"Letson, Bishop",811309,Neuroscience Group Field,2025-04-05 18:14:48.418,R,SW,12,5.094083215,1.736307525,8.742213992,82.776621459,-2.191597452,-15.586067512,2372.94577443,47,2,Foul,
"Letson, Bishop",811309,Neuroscience Group Field,2025-04-05 18:29:35.504,R,FA,12,5.501254246,1.42697967,7.779582209,93.057661139,15.493539348,9.974284432,2526.407300368,47,2,Foul,
"Letson, Bishop",811309,Neuroscience Group Field,2025-04-05 18:41:15.667,R,SI,10,5.337905456,1.29440902,8.330681572,91.481430552,7.643268357,17.043932035,2423.122218627,47,0,Foul,
"Letson, Bishop",811309,Neuroscience Group Field,2025-04-05 18:56:26.398,R,FA,01,5.534298584,1.118829082,7.853527997,92.953689718,12.54690849,7.103558705,2514.36276356,47,0,Called Strike,
"Letson, Bishop",811309,Neuroscience Group Field,2025-04-05 18:57:32.381,R,SW,00,5.05555924,1.874578478,8.175806796,80.817747867,-3.497115296,-18.018587072,2315.283057849,47,1,Ball,
"Letson, Bishop",811309,Neuroscience Group Field,2025-04-05 18:57:48.638,R,CH,10,5.120497082,1.531530876,8.306199497,82.236569162,7.123482345,13.990110944,1686.914618576,47,1,Foul,
"Flores, Anthony",800260,Neuroscience Group Field,2025-04-05 19:25:11.389,R,FA,01,5.358582827,-1.450539126,6.015454134,88.387984926,13.685847343,-9.223816392,2515.189891143,47,0,Called Strike,
"Broca, Jesus",695871,,2025-04-05 14:56:09.000,,SI,,5.189252521,-1.943198653,5.662232207,87.40071,12.534844561,-12.811195867,2164.688005,,,,
"Flores, Anthony",800260,Neuroscience Group Field,2025-04-05 19:50:48.061,R,SL,12,5.041909556,-1.682080619,5.814075654,85.541008906,7.881166494,-0.9319479757,2872.498708409,47,1,Ball,
"Flores, Anthony",800260,Neuroscience Group Field,2025-04-05 20:12:08.022,R,SL,21,5.08929904,-1.671984353,5.235031807,84.407762987,3.999080192,-1.687207293,3099.949707034,47,1,"In Play, No Out",Single
"Flores, Anthony",800260,Neuroscience Group Field,2025-04-05 20:14:40.457,R,CU,11,5.623910454,-1.314620098,5.722826382,79.884138656,-1.647505321,20.196897501,3189.778184126,47,1,Foul,
"Cruz, Stiven",691602,,2025-04-05 14:33:24.490,,CH,,5.729945035,1.59456875,5.430235979,75.81126,1.897635721,20.58614867,1735.760181,,,,
"Flores, Anthony",800260,Neuroscience Group Field,2025-04-05 20:10:03.537,R,FA,22,5.293743644,-1.528361589,5.696021985,85.625281329,9.627853498,-1.435045922,2455.969788659,47,0,Foul,
"Cruz, Stiven",691602,,2025-04-05 14:34:44.030,,FA,,5.517466033,1.100282925,5.870284517,87.00989,12.918475012,15.119961248,2387.523323,,,,
"Flores, Anthony",800260,Neuroscience Group Field,2025-04-05 20:13:59.283,R,CU,10,5.456641583,-1.374369667,5.662905349,80.364208283,-7.493532373,16.142921661,3191.767686665,47,1,Swinging Strike,
"Sanchez, Dikember",699129,Neuroscience Group Field,2025-04-05 20:28:18.578,R,SL,00,5.624669551,2.329811375,5.859355151,83.58504855,-3.865825831,-3.215739862,2656.397433242,47,0,Ball,
"Sanchez, Dikember",699129,Neuroscience Group Field,2025-04-05 20:35:19.955,R,FA,00,5.899466663,1.291099364,6.006973423,89.348746916,9.064587198,2.499326164,2377.503135898,47,0,Ball,
"Gillis, Tanner",828705,Five County Stadium,2025-04-06 00:15:27.842,L,FA,01,5.754793735,1.61233772,6.857723007,94.784760323,13.013986411,6.665307617,664.840097702,84,2,Called Strike,
"Woessner, Tyler",681216,Blue Wahoos Stadium,2025-04-06 00:38:59.279,R,SL,02,6.80661963,0.9997276334,5.887325499,79.54693356,2.280703944,-4.099653107,2192.769853499,74,1,Swinging Strike,
